Timestamp,Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,Permissions,Age_Group,Age Group
2022-09-01 15:24:13,40.0,Other streaming service,3.0,True,False,False,Metal,True,Yes,120.0,0,0,0,0,0,0,2,0,2,0,3,1,1,0,2,0,3.0,0.0,8.0,1.0,No effect,I understand.,36-45,36-45
2022-09-01 15:50:14,16.0,Spotify,9.5,False,False,False,Rock,True,No,105.0,1,3,0,3,1,1,2,0,0,0,3,2,1,1,3,0,0.0,0.0,0.0,0.0,No effect,I understand.,0-18,0-18
2022-09-01 16:00:05,23.0,I do not use a streaming service.,9.5,True,False,False,Video game music,False,Yes,119.0,1,0,2,2,0,1,0,2,0,2,1,2,0,1,2,3,8.0,8.0,5.0,0.0,Improve,I understand.,19-25,19-25
2022-09-01 16:11:18,22.0,YouTube Music,4.0,True,False,False,Folk,True,Yes,137.0,1,2,3,3,0,2,2,0,1,2,3,3,2,2,3,2,8.0,7.0,6.0,2.0,Improve,I understand.,19-25,19-25
2022-09-01 16:30:33,40.5,Spotify,3.0,False,False,False,Metal,True,Yes,178.0,3,1,0,1,0,0,0,2,0,0,3,1,0,1,2,3,6.0,5.0,4.0,0.0,No effect,I understand.,36-45,36-45
2022-09-01 16:35:30,40.5,Spotify,2.0,True,False,False,Rock,True,No,133.0,3,2,1,3,0,1,2,0,1,0,0,0,1,0,3,0,5.0,4.0,6.0,2.0,Improve,I understand.,36-45,36-45
2022-09-01 16:38:05,28.0,Spotify,1.0,False,True,False,Rock,True,No,72.0,1,1,0,1,0,1,0,0,0,2,1,2,0,1,2,0,3.0,1.0,0.0,2.0,No effect,I understand.,26-35,26-35
2022-09-01 16:43:48,40.5,YouTube Music,1.0,True,False,False,Rock,True,No,133.0,1,2,1,2,2,2,2,0,1,1,2,1,2,2,2,0,5.0,6.0,3.0,1.0,Improve,I understand.,36-45,36-45
2022-09-01 16:58:12,40.5,YouTube Music,1.0,True,True,True,Classical,True,No,80.0,2,1,0,1,2,1,2,1,1,0,0,1,0,0,0,0,0.0,0.0,2.0,1.0,Improve,I understand.,36-45,36-45
2022-09-01 17:00:07,40.5,Other streaming service,4.0,True,False,False,Rock,False,No,146.0,0,2,0,0,0,0,2,0,0,0,1,0,1,0,3,0,7.0,6.0,7.0,4.0,Improve,I understand.,36-45,36-45
2022-09-01 17:17:48,40.5,I do not use a streaming service.,2.0,True,False,False,Country,False,No,88.0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,5.0,6.0,1.0,Improve,I understand.,36-45,36-45
2022-09-01 17:27:50,40.5,YouTube Music,2.0,True,False,False,Rock,False,Yes,132.0,2,2,0,2,1,0,1,0,1,0,1,2,2,1,3,1,4.0,4.0,2.0,0.0,Improve,I understand.,36-45,36-45
2022-09-01 17:33:02,15.0,Spotify,2.0,True,True,True,Pop,True,No,102.0,1,1,2,0,2,1,2,2,0,0,0,3,2,0,2,3,9.0,8.0,10.0,9.0,Improve,I understand.,0-18,0-18
